20200121145255,0
20200121145301,0
20200121145303,600
20200121145304,600
20200121145305,0
20200121145309,0
20200121145310,600
20200121145311,600
20200121145312,0
20200121145313,600
20200121145314,600
20200121145315,0
20200121145316,0
20200121145317,600
20200121145318,600
20200121145319,0
20200121145321,0
20200121145322,600
20200121145324,600
20200121145325,0
20200121145340,0
20200121145341,600
20200121145345,600
20200121145358,600
20200121145408,600
20200121145409,0
20200121145451,0
20200121145452,600
20200121145459,600
20200121145500,0
20200121145509,0
20200121145510,600
20200121145524,600
20200121145525,0
20200121150059,0
20200121150100,600
20200121150140,600
20200121150141,0
20200121150239,0
20200121150240,600
20200121150259,600
20200121150300,0
20200121150800,0
20200121150801,600
20200121150859,600
20200121150901,600
20200121150919,500
